area_code;timestamp;num_meter;value_kwh;DateTimeUTC;PLZ;Date;Day;Month;Year;Time;Hour;Minute;DayOfWeek
6112;2024-02-10T12:15:00.000Z;400;48.358;2024-02-10 12:15:00+00:00;6112;2024-02-10;10;2;2024;12:15:00;12;15;6
6112;2024-02-10T12:30:00.000Z;400;48.744;2024-02-10 12:30:00+00:00;6112;2024-02-10;10;2;2024;12:30:00;12;30;6
6112;2024-02-10T12:45:00.000Z;400;49.494;2024-02-10 12:45:00+00:00;6112;2024-02-10;10;2;2024;12:45:00;12;45;6
6112;2024-02-11T12:00:00.000Z;400;50.672;2024-02-11 12:00:00+00:00;6112;2024-02-11;11;2;2024;12:00:00;12;0;7
6112;2024-02-11T12:15:00.000Z;400;52.432;2024-02-11 12:15:00+00:00;6112;2024-02-11;11;2;2024;12:15:00;12;15;7
6112;2024-02-11T12:30:00.000Z;400;49.030;2024-02-11 12:30:00+00:00;6112;2024-02-11;11;2;2024;12:30:00;12;30;7
6112;2024-02-11T12:45:00.000Z;400;47.650;2024-02-11 12:45:00+00:00;6112;2024-02-11;11;2;2024;12:45:00;12;45;7
6112;2024-02-12T12:00:00.000Z;400;54.861;2024-02-12 12:00:00+00:00;6112;2024-02-12;12;2;2024;12:00:00;12;0;1
6112;2024-02-12T12:15:00.000Z;400;54.883;2024-02-12 12:15:00+00:00;6112;2024-02-12;12;2;2024;12:15:00;12;15;1
6112;2024-02-12T12:30:00.000Z;400;51.726;2024-02-12 12:30:00+00:00;6112;2024-02-12;12;2;2024;12:30:00;12;30;1
6112;2024-02-12T12:45:00.000Z;400;55.742;2024-02-12 12:45:00+00:00;6112;2024-02-12;12;2;2024;12:45:00;12;45;1
6112;2024-02-13T12:00:00.000Z;400;43.332;2024-02-13 12:00:00+00:00;6112;2024-02-13;13;2;2024;12:00:00;12;0;2
6112;2024-02-13T12:15:00.000Z;400;44.788;2024-02-13 12:15:00+00:00;6112;2024-02-13;13;2;2024;12:15:00;12;15;2
6112;2024-02-13T12:30:00.000Z;400;45.336;2024-02-13 12:30:00+00:00;6112;2024-02-13;13;2;2024;12:30:00;12;30;2
6112;2024-02-13T12:45:00.000Z;400;43.389;2024-02-13 12:45:00+00:00;6112;2024-02-13;13;2;2024;12:45:00;12;45;2
6112;2024-02-14T12:00:00.000Z;400;48.567;2024-02-14 12:00:00+00:00;6112;2024-02-14;14;2;2024;12:00:00;12;0;3
6112;2024-02-14T12:15:00.000Z;400;50.360;2024-02-14 12:15:00+00:00;6112;2024-02-14;14;2;2024;12:15:00;12;15;3
6112;2024-02-14T12:30:00.000Z;400;50.490;2024-02-14 12:30:00+00:00;6112;2024-02-14;14;2;2024;12:30:00;12;30;3
6112;2024-02-14T12:45:00.000Z;400;47.144;2024-02-14 12:45:00+00:00;6112;2024-02-14;14;2;2024;12:45:00;12;45;3
6112;2024-02-15T12:00:00.000Z;400;43.496;2024-02-15 12:00:00+00:00;6112;2024-02-15;15;2;2024;12:00:00;12;0;4
6112;2024-02-15T12:15:00.000Z;400;48.640;2024-02-15 12:15:00+00:00;6112;2024-02-15;15;2;2024;12:15:00;12;15;4
6112;2024-02-15T12:30:00.000Z;400;47.542;2024-02-15 12:30:00+00:00;6112;2024-02-15;15;2;2024;12:30:00;12;30;4
6112;2024-02-15T12:45:00.000Z;400;46.484;2024-02-15 12:45:00+00:00;6112;2024-02-15;15;2;2024;12:45:00;12;45;4
6112;2024-02-16T12:00:00.000Z;400;49.042;2024-02-16 12:00:00+00:00;6112;2024-02-16;16;2;2024;12:00:00;12;0;5
6112;2024-02-16T12:15:00.000Z;400;51.866;2024-02-16 12:15:00+00:00;6112;2024-02-16;16;2;2024;12:15:00;12;15;5
6112;2024-02-16T12:30:00.000Z;400;51.582;2024-02-16 12:30:00+00:00;6112;2024-02-16;16;2;2024;12:30:00;12;30;5
6112;2024-02-16T12:45:00.000Z;400;48.216;2024-02-16 12:45:00+00:00;6112;2024-02-16;16;2;2024;12:45:00;12;45;5
6112;2024-02-17T12:00:00.000Z;400;63.492;2024-02-17 12:00:00+00:00;6112;2024-02-17;17;2;2024;12:00:00;12;0;6
6112;2024-02-17T12:15:00.000Z;400;58.376;2024-02-17 12:15:00+00:00;6112;2024-02-17;17;2;2024;12:15:00;12;15;6
